,0
SRR12191588.fastq,10288.0
SRR12191688.fastq,8601.0
SRR12191687.fastq,8419.0
SRR12191586.fastq,7480.0
SRR12191701.fastq,6808.0
SRR12191684.fastq,5104.0
SRR12191702.fastq,3256.0
SRR12191608.fastq,476.0
SRR12191685.fastq,439.0
SRR15147337.fastq,4.0
SRR15147362.fastq,1.0
